"Região";"2015";"2016";"2017";"2018";"2019";" Total"
"1 Região Norte";"83,05";"48,22";"66,24";"69,14";"72,77";"65,83"
"2 Região Nordeste";"95,40";"47,96";"70,05";"74,04";"69,24";"68,77"
"3 Região Sudeste";"98,51";"49,04";"74,63";"79,06";"72,72";"71,70"
"4 Região Sul";"94,24";"55,60";"77,43";"81,40";"81,92";"75,89"
"5 Região Centro-Oeste";"94,42";"60,87";"76,14";"81,87";"78,18";"76,35"
"Total";"95,07";"50,44";"72,93";"77,13";"73,44";"71,18"
